"SOURCE_SYSTEM"|"DATA_KEY"|"DATA_ACTION"|"ACTION_DATE"|"ELR_ID"|"TRACK_ID"|"START_YARDAGE"|"END_YARDAGE"|"WORK_ORDER_NO"|"WORK_ORDER_DESC"|"WORK_GROUP"|"STD_JOB_CODE"|"REQD_FINISH_DATE"|"PROTECTION_TYPE"|"PROTECTION_METHOD"|"WORK_ORDER_STATUS"|"SCHEDULE_FREQUENCY"|"TOLERANCE_DESC"|"PLAN_STR_DATE"
"ELLIPSE"|"44592093"|"I"|"20-JUL-2020"|"AFE"|""|0|550|"44592093"|"SCRAP CLEARANCE (EXCLUDING RAIL)"|"JECSHRD"|"009195"|"20200217"|""|""|"A"||""|"        "
"ELLIPSE"|"10264406"|"I"|"20-JUL-2020"|"ECM1"|"1100"|276537|278344|"10264406"|"OLE CAMPAIGN CHANGE 48"|"CAODONX"|"013048"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10264865"|"I"|"20-JUL-2020"|"ECM2"|"2100"|286550|288588|"10264865"|"OLE CAMPAIGN CHANGE 7"|"CAODONX"|"013007"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282325"|"I"|"20-JUL-2020"|"ECM1"|"1500"|243262|244598|"10282325"|"OLE CAMPAIGN CHANGE 43"|"CAODONX"|"013043"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282326"|"I"|"20-JUL-2020"|"ECM1"|"1500"|243262|244598|"10282326"|"OLE CAMPAIGN CHANGE 21"|"CAODONX"|"013021"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282327"|"I"|"20-JUL-2020"|"ECM1"|"1500"|243262|244598|"10282327"|"OLE CAMPAIGN CHANGE 41"|"CAODONX"|"013041"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282328"|"I"|"20-JUL-2020"|"ECM1"|"1500"|243262|244598|"10282328"|"OLE CAMPAIGN CHANGE 43"|"CAODONX"|"013043"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282329"|"I"|"20-JUL-2020"|"ECM1"|"1500"|243262|244598|"10282329"|"OLE CAMPAIGN CHANGE 41"|"CAODONX"|"013041"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282330"|"I"|"20-JUL-2020"|"ECM1"|"3700"|243136|244902|"10282330"|"OLE CAMPAIGN CHANGE 21"|"CAODONX"|"013021"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282331"|"I"|"20-JUL-2020"|"ECM1"|"3700"|243136|244902|"10282331"|"OLE CAMPAIGN CHANGE 21"|"CAODONX"|"013021"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282332"|"I"|"20-JUL-2020"|"ECM1"|"3700"|243136|244902|"10282332"|"OLE CAMPAIGN CHANGE 21"|"CAODONX"|"013021"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282333"|"I"|"20-JUL-2020"|"ECM1"|"3700"|243136|244902|"10282333"|"OLE CAMPAIGN CHANGE 21"|"CAODONX"|"013021"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10282770"|"I"|"20-JUL-2020"|"ECM1"|"2100"|261547|263345|"10282770"|"OLE CAMPAIGN CHANGE 60"|"CAODONX"|"013060"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10039916"|"I"|"20-JUL-2020"|"BBS"|"2901"|4070|4070|"10039916"|"BUFFER STOP - FIXED - MAINTAIN"|"DFCBLAZ"|"009156"|"20991007"|""|""|"A"||""|"        "
"ELLIPSE"|"10039921"|"I"|"20-JUL-2020"|"BBS"|"2901"|4070|4070|"10039921"|"BUFFER STOP - FIXED - MAINTAIN"|"DFCBLAZ"|"009156"|"20991007"|""|""|"A"||""|"        "
"ELLIPSE"|"12837701"|"I"|"20-JUL-2020"|"CBC1"|"1100"|109155|109160|"12837701"|"T/C - RECRIMP/REMAKE TERMINATIONS"|"DBSCAWZ"|"003611"|"20990916"|""|""|"A"||""|"        "
"ELLIPSE"|"12593047"|"I"|"20-JUL-2020"|"CBC3"|"1100"|31966|32716|"12593047"|"T/C - BOND - RENEW"|"DBSCAWZ"|"003601"|"20990831"|""|""|"A"||""|"        "
"ELLIPSE"|"10074942"|"I"|"20-JUL-2020"|"BAR"|"3400"|188012|188012|"10074942"|"PL-IDENTIFY ONLY-SERVICEABLE RAIL"|"CDCBARG"|"003860"|"20991231"|""|""|"A"||""|"        "
"ELLIPSE"|"10210071"|"I"|"20-JUL-2020"|"GSW"|"2100"|75991|75991|"10210071"|"SIGNAL - MINOR REPAIRS"|"FCSIRVW"|"004854"|"20250101"|""|""|"A"||""|"        "
"ELLIPSE"|"10210522"|"I"|"20-JUL-2020"|"GSW"|"2100"|75126|75281|"10210522"|"DISCONNECTION BOX - TC - INSTALL"|"FCSIRVW"|"001343"|"20250101"|""|""|"A"||""|"        "
"ELLIPSE"|"10210523"|"I"|"20-JUL-2020"|"GSW"|"2100"|75126|75281|"10210523"|"T/C - CABLE - RENEW/UPGRADE"|"FCSIRVW"|"004279"|"20250101"|""|""|"A"||""|"        "
"ELLIPSE"|"10210524"|"I"|"20-JUL-2020"|"GSW"|"2100"|75126|75281|"10210524"|"REMOVE REDUNDANT CABLE"|"FCSIRVW"|"004275"|"20250101"|""|""|"A"||""|"        "
"ELLIPSE"|"10210525"|"I"|"20-JUL-2020"|"GSW"|"2100"|75126|75281|"10210525"|"CABLE - CLEAT/SECURE"|"FCSIRVW"|"005111"|"20250101"|""|""|"A"||""|"        "
"ELLIPSE"|"10210527"|"I"|"20-JUL-2020"|"GSW"|"2100"|75126|75281|"10210527"|"S&T - MOVE MATERIALS"|"FCSIRVW"|"003779"|"20250101"|""|""|"A"||""|"        "
